Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,40,0,490.0,527.131263575,364.807708,903.8688330000002,245.0,0.676748722687014,0.0,500,510,510,840,860,870,900,900,900,900,900
POST,harvest_auto,198,0,5,21.711868681818334,2.712875000000281,1318.594625,375.0,3.3499061773007193,0.0,5,6,6,7,9,24,210,760,1300,1300,1300
GET,recipes_search,607,0,8,16.592829362438202,4.82191700000012,830.4349579999997,27283.0,10.269661866775438,0.0,8,9,10,11,14,20,88,240,830,830,830
GET,recommendations_make_now,204,0,5,19.097450382352886,2.0761250000020937,528.3800000000001,2.0,3.4514184857037713,0.0,5,9,11,12,21,81,220,280,530,530,530
POST,studio_create_constraint,407,0,5,6.712358722358772,2.8115409999998064,78.48995800000003,241.0,6.885918253340368,0.0,5,6,7,7,10,12,32,35,78,78,78
POST,studio_create_session,407,0,6,15.66304502702685,2.7450000000008856,479.6444580000001,112.0,6.885918253340368,0.0,6,7,8,9,12,38,250,270,480,480,480
POST,studio_generate,407,0,16,22.519606253071267,9.642834000000988,413.72733299999976,549.0,6.885918253340368,0.0,16,18,19,20,22,25,37,370,410,410,410
GET,studio_summary,199,0,29,43.108334582914736,4.333667000000041,787.4577089999999,143.4070351758794,3.3668248953678948,0.0,29,32,34,35,41,68,510,670,790,790,790
GET,studio_versions,407,0,10,11.10995761916451,6.696625000003564,68.81283299999996,551.0,6.885918253340368,0.0,10,11,12,13,14,16,18,30,69,69,69
,Aggregated,2876,0,8,24.591275468358752,2.0761250000020937,1318.594625,6003.180806675939,48.65823316119631,0.0,8,11,14,16,27,37,360,500,870,1300,1300
